usage_id,customer_id,product_id,usage_date,active_users,sessions,api_calls,storage_gb,feature_adoption_score
U00001,C001,P001,2026-09-18,789,4734,56808,145.48,74.63
U00002,C001,P001,2026-09-11,805,3220,35420,129.0,78.03
U00003,C001,P001,2026-09-04,825,4950,59400,144.37,76.7
U00004,C001,P001,2026-08-28,836,4180,58520,156.85,77.7
U00005,C001,P001,2026-08-21,817,3268,35948,152.07,84.16
U00006,C001,P001,2026-08-14,835,4175,41750,163.81,85.4
U00007,C001,P001,2026-08-07,865,3460,41520,201.15,84.94
U00008,C001,P001,2026-07-31,845,4225,46475,168.43,90.4
U00009,C001,P001,2026-07-24,879,4395,57135,168.91,89.08
U00010,C001,P001,2026-07-17,851,4255,59570,131.2,85.45
U00011,C001,P001,2026-07-10,874,3496,31464,234.85,88.87
U00012,C001,P001,2026-07-03,911,5466,49194,214.27,88.06
U00013,C002,P003,2026-09-18,786,5502,49518,144.97,60.47
U00014,C002,P003,2026-09-11,807,4842,62946,182.38,69.23
U00015,C002,P003,2026-09-04,825,4950,44550,230.71,63.88
U00016,C002,P003,2026-08-28,858,3432,48048,133.96,65.85
U00017,C002,P003,2026-08-21,894,4470,62580,213.19,72.96
U00018,C002,P003,2026-08-14,906,6342,76104,253.22,74.54
U00019,C002,P003,2026-08-07,945,3780,49140,230.29,78.32
U00020,C002,P003,2026-07-31,971,5826,81564,226.56,74.87
U00021,C002,P003,2026-07-24,991,4955,54505,149.07,83.22
U00022,C002,P003,2026-07-17,1038,6228,74736,258.52,83.33
U00023,C002,P003,2026-07-10,1026,6156,86184,239.12,86.59
U00024,C002,P003,2026-07-03,1056,6336,88704,180.58,92.28
U00025,C003,P002,2026-09-18,308,1232,14784,59.18,85.19
U00026,C003,P002,2026-09-11,298,1788,16092,46.94,93.78
U00027,C003,P002,2026-09-04,280,1120,14560,59.69,85.69
U00028,C003,P002,2026-08-28,323,1615,14535,76.15,94.47
U00029,C003,P002,2026-08-21,285,1710,20520,75.07,89.23
U00030,C003,P002,2026-08-14,288,1440,18720,54.87,94.95
U00031,C003,P002,2026-08-07,316,1896,20856,84.36,89.51
U00032,C003,P002,2026-07-31,290,1450,11600,56.25,90.88
U00033,C003,P002,2026-07-24,289,1445,11560,46.02,91.31
U00034,C003,P002,2026-07-17,289,1156,9248,75.65,85.71
U00035,C003,P002,2026-07-10,290,1740,22620,61.8,90.39
U00036,C003,P002,2026-07-03,321,2247,20223,80.89,93.07
U00037,C004,P001,2026-09-18,490,1960,15680,115.48,61.54
U00038,C004,P001,2026-09-11,523,3661,51254,128.02,66.98
U00039,C004,P001,2026-09-04,556,2224,17792,112.5,65.89
U00040,C004,P001,2026-08-28,538,2690,24210,94.0,69.24
U00041,C004,P001,2026-08-21,578,2890,28900,121.46,75.74
U00042,C004,P001,2026-08-14,573,4011,56154,150.11,74.75
U00043,C004,P001,2026-08-07,590,2360,18880,159.55,79.99
U00044,C004,P001,2026-07-31,615,4305,47355,130.73,82.4
U00045,C004,P001,2026-07-24,625,3125,34375,93.93,79.9
U00046,C004,P001,2026-07-17,691,4837,48370,141.65,87.82
U00047,C004,P001,2026-07-10,709,4963,44667,123.85,82.68
U00048,C004,P001,2026-07-03,679,2716,35308,129.53,83.25
U00049,C005,P004,2026-09-18,225,1125,9000,61.85,85.8
U00050,C005,P004,2026-09-11,206,824,9888,32.72,93.62
U00051,C005,P004,2026-09-04,220,880,10560,40.04,90.95
U00052,C005,P004,2026-08-28,234,936,10296,55.1,90.65
U00053,C005,P004,2026-08-21,215,1290,11610,50.97,88.14
U00054,C005,P004,2026-08-14,211,1477,13293,50.07,88.0
U00055,C005,P004,2026-08-07,215,860,6880,45.06,94.98
U00056,C005,P004,2026-07-31,201,804,9648,35.72,87.65
U00057,C005,P004,2026-07-24,217,868,7812,42.97,86.58
U00058,C005,P004,2026-07-17,229,1374,16488,63.64,93.07
U00059,C005,P004,2026-07-10,228,912,11856,58.42,87.99
U00060,C005,P004,2026-07-03,237,948,8532,43.7,93.9
U00061,C006,P002,2026-09-18,112,560,5600,20.9,87.11
U00062,C006,P002,2026-09-11,86,430,5590,19.99,87.64
U00063,C006,P002,2026-09-04,96,576,8064,15.03,91.34
U00064,C006,P002,2026-08-28,82,328,2624,15.86,86.31
U00065,C006,P002,2026-08-21,81,405,5265,16.8,92.06
U00066,C006,P002,2026-08-14,100,400,3200,15.98,93.83
U00067,C006,P002,2026-08-07,74,296,4144,14.65,90.53
U00068,C006,P002,2026-07-31,92,460,3680,17.49,93.99
U00069,C006,P002,2026-07-24,115,460,4600,20.39,87.5
U00070,C006,P002,2026-07-17,71,426,5964,15.82,93.75
U00071,C006,P002,2026-07-10,104,520,4680,27.29,94.76
U00072,C006,P002,2026-07-03,76,532,4256,13.17,94.24
U00073,C007,P001,2026-09-18,1025,7175,100450,243.02,92.35
U00074,C007,P001,2026-09-11,990,5940,53460,249.84,86.08
U00075,C007,P001,2026-09-04,977,6839,61551,171.9,94.18
U00076,C007,P001,2026-08-28,997,5982,83748,252.63,87.28
U00077,C007,P001,2026-08-21,976,4880,53680,188.05,93.64
U00078,C007,P001,2026-08-14,1024,6144,61440,238.99,89.0
U00079,C007,P001,2026-08-07,1009,6054,48432,166.48,94.7
U00080,C007,P001,2026-07-31,986,5916,47328,161.8,89.35
U00081,C007,P001,2026-07-24,1021,6126,67386,233.61,90.11
U00082,C007,P001,2026-07-17,999,4995,49950,155.61,89.36
U00083,C007,P001,2026-07-10,1008,5040,50400,207.72,94.49
U00084,C007,P001,2026-07-03,996,5976,77688,259.2,92.2
U00085,C008,P004,2026-09-18,334,2004,26052,67.83,89.02
U00086,C008,P004,2026-09-11,333,1665,14985,68.15,94.4
U00087,C008,P004,2026-09-04,358,1790,21480,80.19,89.06
U00088,C008,P004,2026-08-28,315,1890,18900,55.86,92.86
U00089,C008,P004,2026-08-21,353,2118,23298,73.22,91.76
U00090,C008,P004,2026-08-14,347,2429,34006,92.7,92.96
U00091,C008,P004,2026-08-07,325,1300,13000,70.53,91.33
U00092,C008,P004,2026-07-31,336,1344,18816,91.98,87.35
U00093,C008,P004,2026-07-24,334,1670,23380,58.75,85.24
U00094,C008,P004,2026-07-17,330,2310,27720,85.95,85.73
U00095,C008,P004,2026-07-10,341,1705,22165,82.02,89.94
U00096,C008,P004,2026-07-03,330,1650,21450,79.0,93.93
