transaction_id,customer_id,subscription_id,transaction_date,transaction_type,amount,currency,payment_status,payment_method
T0001,C001,S001,2026-09-01 00:00:00,subscription_payment,35000,USD,paid,wire
T0002,C001,S001,2026-08-02 00:00:00,subscription_payment,35000,USD,paid,ACH
T0003,C001,S001,2026-07-03 00:00:00,subscription_payment,35000,USD,paid,ACH
T0004,C001,S001,2026-06-03 00:00:00,subscription_payment,35000,USD,paid,wire
T0005,C001,S001,2026-05-04 00:00:00,subscription_payment,35000,USD,paid,card
T0006,C001,S001,2026-04-04 00:00:00,subscription_payment,35000,USD,paid,ACH
T0007,C002,S002,2026-09-01 00:00:00,subscription_payment,65000,USD,late,ACH
T0008,C002,S002,2026-08-02 00:00:00,subscription_payment,65000,USD,paid,ACH
T0009,C002,S002,2026-07-03 00:00:00,subscription_payment,65000,USD,paid,wire
T0010,C002,S002,2026-06-03 00:00:00,subscription_payment,65000,USD,paid,ACH
T0011,C002,S002,2026-05-04 00:00:00,subscription_payment,65000,USD,paid,wire
T0012,C002,S002,2026-04-04 00:00:00,subscription_payment,65000,USD,paid,wire
T0013,C003,S003,2026-09-01 00:00:00,subscription_payment,15000,USD,paid,wire
T0014,C003,S003,2026-08-02 00:00:00,subscription_payment,15000,USD,paid,ACH
T0015,C003,S003,2026-07-03 00:00:00,subscription_payment,15000,USD,paid,wire
T0016,C003,S003,2026-06-03 00:00:00,subscription_payment,15000,USD,paid,card
T0017,C003,S003,2026-05-04 00:00:00,subscription_payment,15000,USD,paid,ACH
T0018,C003,S003,2026-04-04 00:00:00,subscription_payment,15000,USD,paid,ACH
T0019,C004,S004,2026-09-01 00:00:00,subscription_payment,42500,USD,paid,ACH
T0020,C004,S004,2026-08-02 00:00:00,subscription_payment,42500,USD,failed,ACH
T0021,C004,S004,2026-07-03 00:00:00,subscription_payment,42500,USD,paid,ACH
T0022,C004,S004,2026-06-03 00:00:00,subscription_payment,42500,USD,paid,wire
T0023,C004,S004,2026-05-04 00:00:00,subscription_payment,42500,USD,paid,wire
T0024,C004,S004,2026-04-04 00:00:00,subscription_payment,42500,USD,paid,ACH
T0025,C005,S005,2026-09-01 00:00:00,subscription_payment,12083,USD,paid,wire
T0026,C005,S005,2026-08-02 00:00:00,subscription_payment,12083,USD,paid,ACH
T0027,C005,S005,2026-07-03 00:00:00,subscription_payment,12083,USD,paid,wire
T0028,C005,S005,2026-06-03 00:00:00,subscription_payment,12083,USD,paid,wire
T0029,C005,S005,2026-05-04 00:00:00,subscription_payment,12083,USD,paid,wire
T0030,C005,S005,2026-04-04 00:00:00,subscription_payment,12083,USD,paid,wire
T0031,C006,S006,2026-09-01 00:00:00,subscription_payment,6000,USD,paid,card
T0032,C006,S006,2026-08-02 00:00:00,subscription_payment,6000,USD,paid,ACH
T0033,C006,S006,2026-07-03 00:00:00,subscription_payment,6000,USD,paid,card
T0034,C006,S006,2026-06-03 00:00:00,subscription_payment,6000,USD,paid,wire
T0035,C006,S006,2026-05-04 00:00:00,subscription_payment,6000,USD,paid,card
T0036,C006,S006,2026-04-04 00:00:00,subscription_payment,6000,USD,paid,ACH
T0037,C007,S007,2026-09-01 00:00:00,subscription_payment,53333,USD,paid,ACH
T0038,C007,S007,2026-08-02 00:00:00,subscription_payment,53333,USD,paid,wire
T0039,C007,S007,2026-07-03 00:00:00,subscription_payment,53333,USD,paid,card
T0040,C007,S007,2026-06-03 00:00:00,subscription_payment,53333,USD,paid,card
T0041,C007,S007,2026-05-04 00:00:00,subscription_payment,53333,USD,paid,card
T0042,C007,S007,2026-04-04 00:00:00,subscription_payment,53333,USD,paid,ACH
T0043,C008,S008,2026-09-01 00:00:00,subscription_payment,13750,USD,paid,ACH
T0044,C008,S008,2026-08-02 00:00:00,subscription_payment,13750,USD,paid,card
T0045,C008,S008,2026-07-03 00:00:00,subscription_payment,13750,USD,paid,ACH
T0046,C008,S008,2026-06-03 00:00:00,subscription_payment,13750,USD,paid,ACH
T0047,C008,S008,2026-05-04 00:00:00,subscription_payment,13750,USD,paid,card
T0048,C008,S008,2026-04-04 00:00:00,subscription_payment,13750,USD,paid,ACH
